accuracy@1,accuracy@5,accuracy@10
sympy__sympy-12454,pytest-dev__pytest-5221,pylint-dev__pylint-7993
sympy__sympy-12481,pytest-dev__pytest-5227,pytest-dev__pytest-5103
sympy__sympy-13043,pytest-dev__pytest-5495,pytest-dev__pytest-5221
sympy__sympy-13177,pytest-dev__pytest-5692,pytest-dev__pytest-5227
sympy__sympy-13437,pytest-dev__pytest-6116,pytest-dev__pytest-5495
sympy__sympy-13471,pytest-dev__pytest-7220,pytest-dev__pytest-5692
sympy__sympy-13480,pytest-dev__pytest-7373,pytest-dev__pytest-6116
sympy__sympy-13647,pytest-dev__pytest-7432,pytest-dev__pytest-7220
sympy__sympy-13773,pytest-dev__pytest-7490,pytest-dev__pytest-7373
sympy__sympy-14308,pytest-dev__pytest-8365,pytest-dev__pytest-7432
sympy__sympy-14774,pytest-dev__pytest-11143,pytest-dev__pytest-7490
sympy__sympy-15011,scikit-learn__scikit-learn-10297,pytest-dev__pytest-8365
sympy__sympy-15345,scikit-learn__scikit-learn-10508,pytest-dev__pytest-11143
sympy__sympy-15609,scikit-learn__scikit-learn-11281,scikit-learn__scikit-learn-10297
sympy__sympy-15678,scikit-learn__scikit-learn-12471,scikit-learn__scikit-learn-10508
sympy__sympy-16106,scikit-learn__scikit-learn-13241,scikit-learn__scikit-learn-11281
sympy__sympy-16503,scikit-learn__scikit-learn-13497,scikit-learn__scikit-learn-12471
sympy__sympy-16988,scikit-learn__scikit-learn-13584,scikit-learn__scikit-learn-13241
sympy__sympy-17655,scikit-learn__scikit-learn-14092,scikit-learn__scikit-learn-13497
sympy__sympy-18057,scikit-learn__scikit-learn-14894,scikit-learn__scikit-learn-13584
sympy__sympy-18189,scikit-learn__scikit-learn-14983,scikit-learn__scikit-learn-14092
sympy__sympy-18199,scikit-learn__scikit-learn-25500,scikit-learn__scikit-learn-14894
sympy__sympy-18532,scikit-learn__scikit-learn-25570,scikit-learn__scikit-learn-14983
sympy__sympy-18621,scikit-learn__scikit-learn-25638,scikit-learn__scikit-learn-25500
sympy__sympy-18698,scikit-learn__scikit-learn-25747,scikit-learn__scikit-learn-25570
sympy__sympy-18835,sphinx-doc__sphinx-7738,scikit-learn__scikit-learn-25638
sympy__sympy-19007,sphinx-doc__sphinx-7975,scikit-learn__scikit-learn-25747
sympy__sympy-19254,sphinx-doc__sphinx-8282,sphinx-doc__sphinx-7738
sympy__sympy-19487,sphinx-doc__sphinx-8435,sphinx-doc__sphinx-7975
sympy__sympy-20049,sphinx-doc__sphinx-8474,sphinx-doc__sphinx-8282
sympy__sympy-20154,sphinx-doc__sphinx-8506,sphinx-doc__sphinx-8435
sympy__sympy-20442,sphinx-doc__sphinx-8595,sphinx-doc__sphinx-8474
sympy__sympy-21055,sphinx-doc__sphinx-8713,sphinx-doc__sphinx-8506
sympy__sympy-22005,sphinx-doc__sphinx-8721,sphinx-doc__sphinx-8595
sympy__sympy-24152,sphinx-doc__sphinx-8801,sphinx-doc__sphinx-8713
,sphinx-doc__sphinx-10451,sphinx-doc__sphinx-8721
,sphinx-doc__sphinx-11445,sphinx-doc__sphinx-8801
,sympy__sympy-11400,sphinx-doc__sphinx-10451
,sympy__sympy-12171,sphinx-doc__sphinx-11445
,sympy__sympy-12454,sympy__sympy-11400
,sympy__sympy-12481,sympy__sympy-12171
,sympy__sympy-13043,sympy__sympy-12454
,sympy__sympy-13177,sympy__sympy-12481
,sympy__sympy-13437,sympy__sympy-13043
,sympy__sympy-13471,sympy__sympy-13177
,sympy__sympy-13480,sympy__sympy-13437
,sympy__sympy-13647,sympy__sympy-13471
,sympy__sympy-13773,sympy__sympy-13480
,sympy__sympy-13895,sympy__sympy-13647
,sympy__sympy-14308,sympy__sympy-13773
,sympy__sympy-14396,sympy__sympy-13895
,sympy__sympy-14774,sympy__sympy-13971
,sympy__sympy-15011,sympy__sympy-14308
,sympy__sympy-15345,sympy__sympy-14396
,sympy__sympy-15609,sympy__sympy-14774
,sympy__sympy-15678,sympy__sympy-15011
,sympy__sympy-16106,sympy__sympy-15345
,sympy__sympy-16503,sympy__sympy-15609
,sympy__sympy-16792,sympy__sympy-15678
,sympy__sympy-16988,sympy__sympy-16106
,sympy__sympy-17630,sympy__sympy-16503
,sympy__sympy-17655,sympy__sympy-16792
,sympy__sympy-18057,sympy__sympy-16988
,sympy__sympy-18189,sympy__sympy-17630
,sympy__sympy-18199,sympy__sympy-17655
,sympy__sympy-18532,sympy__sympy-18057
,sympy__sympy-18621,sympy__sympy-18189
,sympy__sympy-18698,sympy__sympy-18199
,sympy__sympy-18835,sympy__sympy-18532
,sympy__sympy-19007,sympy__sympy-18621
,sympy__sympy-19254,sympy__sympy-18698
,sympy__sympy-19487,sympy__sympy-18835
,sympy__sympy-20049,sympy__sympy-19007
,sympy__sympy-20154,sympy__sympy-19254
,sympy__sympy-20442,sympy__sympy-19487
,sympy__sympy-21055,sympy__sympy-20049
,sympy__sympy-21171,sympy__sympy-20154
,sympy__sympy-21614,sympy__sympy-20442
,sympy__sympy-22005,sympy__sympy-20639
,sympy__sympy-22714,sympy__sympy-21055
,sympy__sympy-22840,sympy__sympy-21171
,sympy__sympy-23117,sympy__sympy-21614
,sympy__sympy-24102,sympy__sympy-22005
,sympy__sympy-24152,sympy__sympy-22714
,sympy__sympy-24213,sympy__sympy-22840
,sympy__sympy-24909,sympy__sympy-23117
,,sympy__sympy-24102
,,sympy__sympy-24152
,,sympy__sympy-24213
,,sympy__sympy-24909
